q,operator,cascade_score,cascade_cost_usd,cascade_latency_s,paper_bq_score,paper_bq_cost_usd,paper_bq_latency_s,paper_dase_score,parallelism_used,parallelism_source
1,F,0.7809266756635178,0.31306483999999996,21.999860347643157,0.71,1.44,61.7,0.66,0.003412421879320834,per_call_lat (measured)
2,F,0.16666666666666669,0.0009968000000000002,5.143974933624268,0.08,0.01,14.1,0.0,0.10071428571428571,per_call_lat (measured)
3,F L,1.0,0.0022064,4.296898657942249,1.0,1.66,36.4,1.0,0.004837852206273259,per_call_lat (measured)
4,F,0.9956000367549498,0.30716834000000004,23.38118034664037,0.99,1.41,68.7,0.99,0.003807148794679967,per_call_lat (measured)
5,F,1.0,0.0066351,5.096484697921366,1.0,1.47,58.9,0.5,0.012025316455696202,per_call_lat (measured)
6,F J,0.9621650026274303,0.8882572599999999,41.18620487347472,0.96,2.0,44.3,0.88,0.008353762021497265,per_call_lat (measured)
7,F,0.5296616837136114,1.54996562,131.53975526822978,0.45,3.17,86.0,0.47,0.010239314204071913,per_call_lat (measured)
8,F L,0.39106145251396646,0.0444296,6.029431085713493,0.24,1.69,38.2,0.15,0.012712146422628953,per_call_lat (measured)
9,F,0.0,0.02663322,16.43054010742589,0.0,0.03,13.6,1.0,0.23859649122807017,per_call_lat (measured)
10,C,0.558825076351746,0.8639794799999999,27.62254944816608,0.57,2.7,62.0,0.45,0.0020186891544297205,per_call_lat (measured)
